food_name,categories
italian sausage,Italian; Pizza; Mediterranean Cuisine; Italian Contemporary; Modern Cuisine
french toast,French; French Contemporary; Pizza
roast beef,Steakhouse; Vegetarian; Barbecue; Grills
ground beef,Steakhouse; Street Food; Vegetarian
beef stew,Barbecue; Steakhouse; Modern Cuisine; Vegetarian; Street Food
green beans,Grills
pork chops,Barbecue; Grills
french onion,French; French Contemporary; Modern Cuisine; Mediterranean Cuisine; Noodles and Congee
corned beef,Steakhouse; Vegetarian; Modern Cuisine; Street Food
thai chicken,Thai; Southern Thai; Northern Thai; Thai-Chinese; Thai and Vietnamese
black beans,Grills; Barbecue
italian chicken,Italian; Mediterranean Cuisine; Pizza; Modern Cuisine; Seafood
wild rice,Rice Dishes; Vietnamese; Sushi; Southern Thai; Asian Contemporary
mexican chicken,Mexican; Modern Cuisine; Barbecue; Noodles; Mediterranean Cuisine
beef tenderloin,Steakhouse; Vegetarian; Modern Cuisine; Barbecue; Seafood
stir fried,Modern Cuisine
grilled chicken,Barbecue; Grills; Street Food; Steakhouse; Pizza
fried rice,Rice Dishes; Sushi; Noodles; Modern Cuisine; Street Food
chicken breasts,Barbecue; Seafood
potato salad,Street Food; Modern Cuisine; Sushi; Noodles; Steakhouse
middle eastern,South East Asian; Southern
south african,South East Asian; Southern; Indian; International
goat cheese,Pizza; Seafood; Street Food
red pepper,Pizza; Street Food
olive garden,Steakhouse; Pizza; Street Food; Mediterranean Cuisine
chinese chicken,Chinese; Thai-Chinese; Noodles; Seafood; Noodles and Congee
puerto rican,Mexican; Spanish; Spanish Contemporary
green chile,Spanish; International
tomato sauce,Pizza; Mediterranean Cuisine; Modern Cuisine
smoked salmon,Seafood
swiss chard,European; French; German
red wine,French; French Contemporary; Italian; Italian Contemporary
spicy chicken,Modern Cuisine; Mediterranean Cuisine; Tempura; Noodles; Barbecue
roast chicken,Barbecue; Mediterranean Cuisine; Street Food; Modern Cuisine; Pizza
lentil soup,Noodles and Congee; Street Food; Modern Cuisine; Mediterranean Cuisine
moroccan chicken,Mediterranean Cuisine; Vegetarian; Pizza; Seafood; Modern Cuisine
german chocolate,German; European; Modern Cuisine; Noodles and Congee; Noodles
brown rice,Rice Dishes; Noodles; Sushi; Noodles and Congee; Vietnamese
bean soup,Street Food; Noodles and Congee; Modern Cuisine
greek chicken,Mediterranean Cuisine; Modern Cuisine; Pizza; Seafood
blue cheese,Pizza; Seafood; Noodles
pot beef,Steakhouse; Barbecue; Modern Cuisine; Street Food
spanish rice,Rice Dishes; Spanish; Vietnamese; Noodles; Thai-Chinese
pennsylvania dutch,European; Northern Thai; Pa Thong Ko; French
butternut squash,Vegetarian
spicy thai,Thai; Southern Thai; Thai contemporary; Northern Thai; Thai and Vietnamese
chicken salad,Street Food; Noodles; Mediterranean Cuisine; Modern Cuisine; Seafood
rice pudding,Rice Dishes; Modern Cuisine; Sushi; Noodles; Mediterranean Cuisine
creamy chicken,Modern Cuisine; Noodles; Mediterranean Cuisine; Seafood; Noodles and Congee
chicken curry,Modern Cuisine; Southern Thai; Mediterranean Cuisine; Thai; Barbecue
chicken soup,Modern Cuisine; Street Food; Noodles and Congee; Pizza; Mediterranean Cuisine
spicy beef,Modern Cuisine; Steakhouse; Vegetarian; Barbecue; Mediterranean Cuisine
lemon chicken,Mediterranean Cuisine; Modern Cuisine; Street Food; Barbecue; Pizza
onion soup,Noodles and Congee; Street Food; Noodles; Modern Cuisine; Pizza
mexican rice,Rice Dishes; Mexican; Vietnamese; Noodles; Sushi
roasted garlic,Pizza; Mediterranean Cuisine
swiss cheese,Pizza; Mediterranean Cuisine; Seafood; Noodles; European
con pollo,Spanish Contemporary; Congee; Italian Contemporary; Pa Thong Ko
thai red,Thai; Northern Thai; Thai-Chinese; Southern Thai; Thai and Vietnamese
red curry,Indian
tomato salad,Mediterranean Cuisine; Pizza; Street Food; Sushi; Noodles
pork tenderloin,Steakhouse; Barbecue; Vegetarian
chicken breast,Seafood; Barbecue
white chocolate,Pizza
beef stroganoff,Steakhouse; Street Food
beef tips,Steakhouse
italian beef,Italian; Mediterranean Cuisine; Steakhouse; Italian Contemporary; Modern Cuisine
greek style,Mediterranean Cuisine; Italian
roast pork,Barbecue; Grills; Mediterranean Cuisine; Vegetarian; Pizza
thai green,Thai; Southern Thai; Northern Thai; Thai-Chinese; Thai and Vietnamese
baked chicken,Barbecue; Mediterranean Cuisine; Noodles; Modern Cuisine; Pizza
chicken enchiladas,Noodles; Noodles and Congee; Modern Cuisine; Mediterranean Cuisine; Barbecue
vegetable soup,Noodles and Congee; Street Food; Modern Cuisine; Pizza; Noodles
deep fried,Pizza
thai style,Thai; Southern Thai; Thai contemporary; Thai and Vietnamese; Northern Thai
thai beef,Thai; Southern Thai; Thai and Vietnamese; Northern Thai; Thai-Chinese
french bread,French; Mediterranean Cuisine; French Contemporary; Modern Cuisine; Pizza
spaghetti sauce,Noodles; Noodles and Congee; Pizza; Mediterranean Cuisine; Modern Cuisine
