restaurant_name,location,cuisine,michelin_stars,google_rating,total_google_reviews,reviewer,rating,review_text,date,language
I-SANG ,"Bangkok, Thailand",Korean Contemporary,0,4.7,27,Hangry Joobert,5,"Dinner at I-SANG was a really nice modern Korean fine dining experience for me. Helmed by Chef @steve_ouiiii, the tasting menu reimagines Korean flavors with refined techniques, balancing tradition and contemporary finesse.

Dishes like the Perilla Oil Kal-Guksu stood out with handmade noodles, local shrimp, and nutty depth from perilla oil. The Maeun-Tang balanced chili heat with catfish and morning glory, while Ogolgye with black chicken, banana, and black garlic was as intriguing as it sounds. Even the comforting Juk felt elevated here, layered with betel leaf and jangjorim for depth.

What I enjoyed most is how every plate still carried a sense of comfort — like familiar Korean flavors reimagined with finesse. It doesn’t scream luxury for the sake of it, but quietly delivers satisfaction in a polished, modern way.",4 weeks ago,en
I-SANG,"Bangkok, Thailand",Korean Contemporary,0,4.7,27,Monk Monk,5,"The food was very nicely thought through.  You can see that the chef has put a lot of thinking and testing with ingredients.  The chef is Korean and he was able to incorporate local ingredients into his cuisine seamlessly.  The service was great.  Overall amazing meal, the only deducted points for me was the set up.  It’s in a somewhat confusing building and rather casual.",a month ago,en
I-SANG,"Bangkok, Thailand",Korean Contemporary,0,4.7,27,Martin Garnes,5,"One of the best Korean fine dining experiences, meticulous attention to detail both in food and service. Chef Steve previously opened Hansik Goo 1 star Michelin star restaurant in Hong Kong and trained at Mingles 2 star Michelin restaurant. At I-Sang he brings out his own style while paying homage to traditional Korean techniques and flavors.  We had a great dining experience for 4, the sommelier is also very knowledgeable and focused on finding the right choice for the customer rather than pushing his own preference. Thank you for a lovely evening - look forward to visiting again!",2 months ago,en
I-SANG,"Bangkok, Thailand",Korean Contemporary,0,4.7,27,Phat kids,3,"Food tastes great, very creative and a fresh take on korean food. Each dish tastes unique. Love the surprised fried chicken with sprinkles of chili on them. The service would have been better if they start serving the food faster. The first dish was served almost half an hour after we arrived. The server should also be more knowledgeable about wine and give better recommendations.",3 months ago,en
I-SANG,"Bangkok, Thailand",Korean Contemporary,0,4.7,27,Bomi K,5,"Dining at Isang felt like tasting Korean classics through a new lens — rooted in tradition, but with Thai twists that kept me curious. My favorite was the Birth (seaweed soup), one of my comfort foods from Korea, reimagined so beautifully. The stone pot rice with anchovy broth was humble yet deeply satisfying, and even the KFC came with a fun surprise. Finishing with the pandan dasik and tea was just perfect. A meal that felt both personal and refreshing.",2 months ago,en
Cannubi by Umberto Bombana,"Bangkok, Thailand",Italian Contemporary,0,4.6,77,Lalin C.,5,"A sophisticated dining experience with a vibrant yet elegant ambiance. The tuna and uni were truly exceptional — fresh, balanced, and beautifully presented. The carabineros, premium beef, and blue lobster showcased outstanding quality and precise execution. Service was impeccable: the team exuded warmth, enthusiasm, and professionalism, creating an atmosphere of genuine hospitality. The wine list features an impressive selection from both Italy and France, curated with care to complement the cuisine.
An excellent restaurant that combines refined flavors with heartfelt service — highly recommended.",2 weeks ago,en
Cannubi by Umberto Bombana,"Bangkok, Thailand",Italian Contemporary,0,4.6,77,Sumol,5,"I just had very tasty meal at this restaurant. Recommended Autumn Course (Menu as specified):

1.Scampi Tartare: Fresh scampi tartare with a delicate flavour, making for a perfect start.

2.Chesnut Gnocchi: Soft and chewy chestnut gnocchi, embodying the flavour and aroma of autumn.

3.Pasta Uni Sauce: Pasta tossed in a rich, sweet, creamy, and luxurious sea urchin (Uni) sauce.

4.Steak M5: Excellent quality M5 beef steak, meticulously grilled. The tender and succulent meat is an impressive main course, providing a superb finish to the meal.

Notes/Cautions:

You are permitted to bring an outside cake, but you are not allowed to consume it inside the restaurant.

The reservation process can be quite complicated, involving correspondence through both email and Line chat.

The staff introducing the dishes are not the chef directly. Furthermore, requests to change tables (even when the restaurant is empty) may not be accommodated.",a week ago,en
Cannubi by Umberto Bombana,"Bangkok, Thailand",Italian Contemporary,0,4.6,77,Tiaranad Gerjarusak,5,"Our beloved legendary Dusit Thani Hotel has reopened! The modern reinterpretation of the old building is simply ingenious.

Upon arrival, the security guard pointed us toward the valet parking, but after driving into the garage and back up to the entrance, there was no valet in sight. Anyway, I was here to review Cannobi Restaurant, not the parking!

The food was spectacular — both in presentation and taste. Every dish was outstanding. We had the degustation menu, seven courses of pure joy. The service was excellent, and the food was exceptional — truly worth the astronomical price.

I went there after two consecutive birthday dinners at The Normandie Grill at the Mandarin Oriental, and I must say, Cannobi definitely outshined the MO!",3 weeks ago,en
Cannubi by Umberto Bombana,"Bangkok, Thailand",Italian Contemporary,0,4.6,77,Sawit Khosittham,5,"We had a wonderfully memorable experience at Cannubi by Umberto Bombana.

The small wine bar and lounge on the upper floor is an excellent place to begin your evening. Their signature cocktails are superb, and the atmosphere truly elevates the mood.

The tasting menu is exceptionally well-curated. If you're a party of two, ordering different options allows you to sample a wider array of dishes.
We reviewed the lunch set menu and found it less appealing, so we definitely opted for dinner.

The wine pairing was a particular highlight. The sommelier expertly selected excellent wines to complement our meal. There was one minor issue: we initially ordered five wine pairings but only received three courses. However, because we chose different dishes, we ended up with distinct wines accompanying each plate, allowing us to taste a wider variety. We also ordered some sweet wine to pair with our desserts. Our final bill correctly reflected charges for three wine pairing courses.

Service-wise, the staff was attentive and good, though there's still some room for improvement.

Overall, we were very satisfied with every aspect of our visit. We will definitely return to explore the à la carte menu.",4 months ago,en
Cannubi by Umberto Bombana,"Bangkok, Thailand",Italian Contemporary,0,4.6,77,Paswadee Phattiyakul,5,Very impressed with the atmosphere and service; each table has its own privacy and staffs are very attentive. Great lunch course with reasonable price. Went to celebrate my birthday and the resto have me a very beautiful bouquet. One comment is that it’s unfortunate you are not allowed to eat outside birthday cakes on premise (should allow since there must be many people coming here to celebrate their birthdays) but you are allowed to have them on the table for phototaking and appreciation. That aside I had a great time.,4 months ago,en
Duet by David Toutain,"Bangkok, Thailand",Modern Cuisine,0,4.8,30,ModdyCOE,5,"Birthday Dinner | Oct 15

We chose Duet, The Ritz-Carlton Bangkok for my birthday dinner -the newest luxury hotel in town, and I’ve always loved The Ritz-Carlton.

Duet by David Toutain is truly a masterpiece — Michelin-star artistry you can taste and feel. Every dish tells a story, melts in your mouth, and turns dining into a form of art. Worth the visit, every single bite.

The staff were charming, attentive, and beautifully trained  and yes, all good-looking! 😄",2 weeks ago,en
Duet by David Toutain,"Bangkok, Thailand",Modern Cuisine,0,4.8,30,Hangry Joobert,5,"I tried Duet by David Toutain — a new fine dining gem of The Ritz-Carlton Bangkok — offers an elevated French dining experience in an elegant glasshouse overlooking lush Lumpini Park. Come around sunset and you’ll get a stunning golden-hour view to go with your meal.

I tried the Summer Inspiration series, which was heavy on vegetables but surprisingly rich and indulgent — exactly how I love. Every course was thoughtfully composed, with seasonal ingredients transformed into dishes full of depth and flavor. I’m definitely coming back next season!",2 months ago,en
Duet by David Toutain,"Bangkok, Thailand",Modern Cuisine,0,4.8,30,Genta,5,"Refined, Seasonal Dining at Its Best

Had an amazing set dinner at Duet by David Toutain—an unforgettable experience from start to finish. The ambiance is elegant and upscale, with a refined but warm atmosphere that perfectly complements the food. Service was absolutely top-tier—attentive, knowledgeable, and welcoming without being stiff.

The menu is deeply seasonal and beautifully thought out, with locally sourced ingredients elevated through modern French technique. Every dish felt like a story told through flavor and texture.

Some highlights from the set:
A delicate smoked red bell pepper bite, a bright and refreshing watercress starter, and a crispy onion tart inspired by pissaladière. Loved the tomato, crab, and burrata dish—so fresh and complex. The Gambero Rosso with sweet corn was a beautiful harmony of land and sea, while the zucchini with yuzu kosho and pistachio was subtle but deeply flavorful.

Other standouts: green beans with smoky sardine and rosemary, rich artichoke with bone marrow, and a perfectly cooked fish course with fennel and black olives. The main—French pork with girolles and zucchini flower—was earthy, juicy, and incredibly balanced.

Dessert was light yet memorable: pomelo and spruce, a surprising but refreshing end to an exquisite meal.

Highly recommend for anyone looking for a fine dining experience in Bangkok that’s both inventive and rooted in quality. Would return in a heartbeat.",4 months ago,en
Duet by David Toutain,"Bangkok, Thailand",Modern Cuisine,0,4.8,30,ARTYOS,5,"had the pleasure of experiencing “The Art of Two” at DUET, The Ritz-Carlton Bangkok—an exclusive collaboration between Chef David Toutain and Chef Valentin Fouache. This eight-course tasting menu explored the harmony of nature, memory, and technique in a truly elevated gastronomic journey.

Each dish was thoughtfully composed, with a modern, earthy elegance that reflected both chefs’ philosophies. Highlights included the vibrant Provence Green Asparagus with pistachio and lovage, a poetic Ostra regal oyster amuse-bouche, and a stunning pigeon with purple artichoke and black olives—each beautifully plated and rich in character.

The wine pairings, curated by The Wine Merchant, were exceptional and seamlessly matched the rhythm of the courses

Service was flawless—attentive, warm, and genuinely passionate. Every detail was looked after with care, creating a refined and welcoming atmosphere.",4 months ago,en
Duet by David Toutain,"Bangkok, Thailand",Modern Cuisine,0,4.8,30,Guanny G,5,"Impeccable service, and quality curated menu.

This is a rather late posting as the dinner was back in January during Ritz-Carlton's official opening night. Had the privilege of dining at Duet, and icing on the cake was meeting Chef Toutain himself who flew in from France to do the final checks, crossing the Ts and dotting the Is.

The curated menu was of high standards, with plating and table side presentations well prepared. Service was not just attentive, but warm and engaging. The staffs actively strike up conversations and you can feel they genuinely wanted to engage you.

Love the little cards which are presented on the table to introduce the key herb used in each dish. The main dining room, which is designed as a glasshouse, truly set a beautiful dining ambience.",8 months ago,en
Jaidee Shrimp,"Bangkok, Thailand",Thai,0,4.6,1613,JaN SaBaLahey,4,"Super authentic Southern Thai food bursting with flavor! The dishes are rich, spicy, and true to tradition. Love the balance between the lush garden seating and cool air-conditioned indoor area—great for any weather. Friendly service and cozy vibes make it a perfect hidden gem. Definitely worth a visit if you’re craving real Southern Thai cuisine in a relaxed, beautiful setting.",3 months ago,en
Jaidee Shrimp,"Bangkok, Thailand",Thai,0,4.6,1613,Under Cover,5,"This restaurant is located in a residential area and is always busy, so be prepared to wait a little for a table. We love the variety of shrimp dishes here! This time, we had coconut curry with shrimp and rice, as well as a papaya salad with shrimp egg.

For drinks, we enjoyed fresh coconut water and a large Heineken beer. As always, both dishes tasted absolutely delicious. The service was very attentive, and the restaurant’s atmosphere is also quite nice.

We will definitely come back again!",8 months ago,en
